"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
4.200381790E-1	9.845399857E-2	4.292099923E-2	-1.349219978E-1	1.724510003E-1
4.248837930E-1	9.581000358E-2	3.242199868E-2	-1.226859987E-1	1.590050221E-1
4.297293230E-1	8.111699671E-2	2.133999951E-2	-8.148500323E-2	1.169408760E-1
4.345748620E-1	7.261899859E-2	1.592300087E-2	-5.580199882E-2	9.295657043E-2
4.394206290E-1	6.524600089E-2	1.350400038E-2	-4.495999962E-2	8.037910315E-2
4.442661840E-1	5.270799994E-2	7.482999936E-3	-3.673499823E-2	6.468066667E-2
4.491117230E-1	3.559000045E-2	-5.632999819E-3	-2.517399937E-2	4.395576257E-2
4.539573360E-1	1.672399975E-2	-2.161700092E-2	-1.407300029E-2	3.074144163E-2
4.588028820E-1	-3.348000115E-3	-3.740499914E-2	-3.787999973E-3	3.774509252E-2
4.636484200E-1	-1.998100057E-2	-4.875899851E-2	7.056999952E-3	5.316466466E-2
4.684941870E-1	-3.015900031E-2	-5.254299939E-2	1.713800058E-2	6.296064761E-2
4.733397280E-1	-3.172500059E-2	-5.058899894E-2	2.456399985E-2	6.456866550E-2
4.781852660E-1	-2.665700018E-2	-4.366299883E-2	3.063300066E-2	5.962745890E-2
4.830308800E-1	-1.845199987E-2	-3.588899970E-2	3.682899848E-2	5.463397961E-2
4.878764240E-1	-7.675000001E-3	-2.756199986E-2	4.497800022E-2	5.330656587E-2
4.927219630E-1	8.225000463E-3	-1.789899915E-2	4.996500164E-2	5.370778521E-2
4.975677300E-1	2.573399991E-2	-7.615999784E-3	5.267800018E-2	5.912033413E-2
5.024132800E-1	4.344499856E-2	3.037000075E-3	5.280499905E-2	6.844749224E-2
5.072588190E-1	6.431700289E-2	1.270900015E-2	4.607500136E-2	8.013177457E-2
5.121044320E-1	8.835799992E-2	2.095600031E-2	3.424200043E-2	9.705052649E-2
5.169502020E-1	1.171670035E-1	3.579200059E-2	1.545399986E-2	1.234827928E-1
